"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050804","modulation of chemical synaptic transmission","51/1157","439/18723",1.05065107726577e-05,0.00109085868579959,0.000967066892373978,"DLGAP3/DGKZ/NFATC4/LGMN/ITPKA/CBLN1/JPH3/RAPGEF2/HTR1B/VGF/DLGAP2/SYP/BEGAIN/MCTP2/GRIN2C/ADCYAP1/CPLX1/WNT3A/CDH2/ADGRB1/CACNG2/PCDH17/GSK3B/CRTC1/PLCL2/NPS/NTF3/GRIN2A/PRKAR1B/PTK2B/RASGRF1/ARC/STXBP5/NCS1/MECP2/TMEM25/GRIK4/CUX2/CACNG3/CACNG5/CELF4/PRKACA/SLC8A2/DLGAP4/SRC/ZMYND8/SLC6A6/SLC12A2/GRM4/EGFR/SHANK2",51
"BP","GO:0099177","regulation of trans-synaptic signaling","51/1157","440/18723",1.11906052767122e-05,0.00113996373375413,0.0010105994477301,"DLGAP3/DGKZ/NFATC4/LGMN/ITPKA/CBLN1/JPH3/RAPGEF2/HTR1B/VGF/DLGAP2/SYP/BEGAIN/MCTP2/GRIN2C/ADCYAP1/CPLX1/WNT3A/CDH2/ADGRB1/CACNG2/PCDH17/GSK3B/CRTC1/PLCL2/NPS/NTF3/GRIN2A/PRKAR1B/PTK2B/RASGRF1/ARC/STXBP5/NCS1/MECP2/TMEM25/GRIK4/CUX2/CACNG3/CACNG5/CELF4/PRKACA/SLC8A2/DLGAP4/SRC/ZMYND8/SLC6A6/SLC12A2/GRM4/EGFR/SHANK2",51
"BP","GO:0007409","axonogenesis","49/1157","418/18723",1.22328345920209e-05,0.00122305692522816,0.00108426313625573,"BARHL2/EFNA3/EFNB2/OTX2/NFIB/SLITRK2/GDI1/LHX3/HDAC6/WNT3A/CDH2/ADGRB1/HSP90AA1/ROBO1/AUTS2/PLXNA4/FGFR2/NRP2/MAP2/GSK3B/RET/LAMA1/NKX6-1/BRSK2/BMP7/PLXND1/EPHB4/LHX2/NECTIN1/PAX2/CDH4/RGMA/NRXN3/PLXNA2/UCHL1/UNC5D/EPHA10/DAB1/POU4F1/SLITRK1/FOXB1/NEO1/EFNA2/SEMA6B/MAP1S/SEMA6A/UNC5A/HOXA2/L1CAM",49
"BP","GO:0021516","dorsal spinal cord development","8/1157","20/18723",1.33886266665633e-05,0.00127852331254002,0.00113343513947407,"PROX1/LHX5/LHX3/WNT3A/MDGA1/GSX2/LMO4/HOXB8",8
"BP","GO:0071774","response to fibroblast growth factor","21/1157","120/18723",1.34220747328215e-05,0.00127852331254002,0.00113343513947407,"KL/OTX2/FGF22/TRIM71/NDNF/CCN2/FGF19/GPC1/SULF1/ZFP36L2/FGFR2/FGF18/TBX1/NDST1/SULF2/SPRY3/FGFR1/FGF6/ITGB1BP1/ZFP36L1/HHIP",21
"BP","GO:0051960","regulation of nervous system development","51/1157","443/18723",1.34980234885684e-05,0.00127852331254002,0.00113343513947407,"TENM4/NFATC4/ITPKA/CBLN1/ASIC2/HOXB3/DLX2/HES6/RAPGEF2/HELT/SLITRK2/GDI1/SPINT1/SOX8/ADCYAP1/ANKRD27/WNT3A/DICER1/ADGRB1/ROBO1/PLXNA4/DMRTA2/MAP2/CST7/LRRN1/BHLHB9/MYCN/NKX6-1/BMP7/PLXND1/GSX2/LHX2/CDH4/CUX1/RGMA/PLXNA2/HGF/AGRN/SKI/DAB1/CUX2/POU4F1/SLITRK1/SEMA6B/SOX11/SEMA6A/HEY2/EGFR/NSUN5/PLAG1/L1CAM",51
"BP","GO:0034329","cell junction assembly","49/1157","420/18723",1.39065944483175e-05,0.00129451212804252,0.00114760952734119,"KIRREL3/EFNB2/CBLN1/ASIC2/LRFN3/UGT8/RAPGEF2/SDK1/SLITRK2/PKP1/WNT3A/CDH2/ADGRB1/TBCD/PCDH17/CDH22/LRRN1/MDGA1/BHLHB9/ARVCF/IKBKB/PRKCA/SDK2/PLXND1/SPTBN2/NECTIN1/PTK2B/PLEC/NPHP4/ITGB1BP1/IQGAP1/MECP2/PHLDB2/AGRN/CUX2/POU4F1/SLITRK1/MMP14/LRFN5/SIX1/FMN1/PRKACA/PKP4/ITGA6/SRC/ADGRL3/MICALL2/RAPGEF1/SHANK2",49
"BP","GO:0051592","response to calcium ion","24/1157","149/18723",1.44482644121515e-05,0.00132213863663061,0.00117210095061646,"LGMN/ADGRV1/SPARC/GDI1/HPCA/RYR2/CAPN3/CACNG2/SYT6/CAMK2D/PTGES/PTK2B/RYR1/SYT13/KCNMA1/ALOX15/IQGAP1/CPNE8/MEF2A/DPEP1/ADD1/EGFR/BRAF/CPNE7",24
"BP","GO:0007416","synapse assembly","27/1157","179/18723",1.49692381522557e-05,0.00134698194640047,0.00119412501540889,"KIRREL3/EFNB2/CBLN1/ASIC2/LRFN3/SDK1/SLITRK2/WNT3A/CDH2/ADGRB1/PCDH17/LRRN1/MDGA1/BHLHB9/SDK2/PLXND1/SPTBN2/NECTIN1/MECP2/AGRN/CUX2/POU4F1/SLITRK1/LRFN5/SIX1/ADGRL3/SHANK2",27
"BP","GO:0019722","calcium-mediated signaling","29/1157","202/18723",1.92596487208692e-05,0.00170463677777005,0.00151119279954775,"NFATC4/ACKR3/NR5A1/HPCA/RYR2/MCTP2/GRIN2C/HDAC4/SYK/ADGRB2/GSK3B/CAMK2D/TNFSF11/NFATC1/EDN2/GRIN2A/PTK2B/ATP2B4/DYRK2/CD22/CAMTA1/PRKACA/DMPK/SLC8A2/POMC/CXCR2/CCR4/EGFR/SLC8A1",29
"BP","GO:0072006","nephron development","23/1157","142/18723",1.97307869026067e-05,0.00171816965301893,0.00152318994984979,"NID1/WT1/KIRREL3/POU3F3/JAG1/BASP1/SOX8/WNT9B/SULF1/KIF26B/TFAP2B/RET/SULF2/BMP7/PAX2/IRX2/OSR1/AQP11/IQGAP1/DCHS2/SIX1/FMN1/SALL1",23
"BP","GO:0072210","metanephric nephron development","11/1157","40/18723",2.09676148461101e-05,0.00179689131038331,0.00159297819056412,"WT1/SOX8/WNT9B/KIF26B/TFAP2B/RET/PAX2/IRX2/OSR1/FMN1/SALL1",11
"BP","GO:0072001","renal system development","38/1157","302/18723",2.4140075036555e-05,0.00203644164253688,0.00180534409853973,"PROX1/NID1/WT1/KIRREL3/SMAD6/GLIS2/POU3F3/JAG1/BASP1/PCSK5/COL4A1/SOX8/WNT9B/SULF1/KIF26B/FGFR2/CTSH/TFAP2B/OSR2/AMER1/RET/WFS1/SULF2/BMP7/PLXND1/PAX2/IRX2/OSR1/AQP11/IQGAP1/CYP26B1/DCHS2/PDGFA/SIX1/FMN1/SALL1/SOX11/CXCR2",38
"BP","GO:0021537","telencephalon development","33/1157","248/18723",2.63514010679588e-05,0.00218878791332168,0.00194040195394346,"PROX1/KIRREL3/POU3F3/DLX2/NFIB/LHX5/CCDC85C/WNT3A/CDH2/FLNA/ROBO1/PLXNA4/DMRTA2/SIX3/GSK3B/MDGA1/TRAPPC9/GSX2/LHX2/ATP2B4/BNIP3/TACC2/SKI/DAB1/FOXB1/SALL1/RTN4RL1/EFNA2/SEMA6B/FAT4/NSUN5/LHX6/SLC8A1",33
"BP","GO:0001655","urogenital system development","41/1157","338/18723",2.79704318811887e-05,0.00228806608676573,0.00202841393562624,"PROX1/NID1/WT1/KIRREL3/SMAD6/GLIS2/POU3F3/JAG1/BASP1/PCSK5/COL4A1/SOX8/WNT9B/GATA2/SULF1/KIF26B/FGFR2/CTSH/TFAP2B/OSR2/AMER1/RET/WFS1/SULF2/BMP7/PLXND1/PAX2/IRX2/OSR1/AQP11/IQGAP1/CYP26B1/DCHS2/PDGFA/SIX1/FMN1/FOXB1/SALL1/SOX11/CXCR2/PLAG1",41
"BP","GO:0001822","kidney development","37/1157","293/18723",2.8412527059003e-05,0.00228954079987399,0.00202972129673663,"PROX1/NID1/WT1/KIRREL3/SMAD6/GLIS2/POU3F3/JAG1/BASP1/PCSK5/SOX8/WNT9B/SULF1/KIF26B/FGFR2/CTSH/TFAP2B/OSR2/AMER1/RET/WFS1/SULF2/BMP7/PLXND1/PAX2/IRX2/OSR1/AQP11/IQGAP1/CYP26B1/DCHS2/PDGFA/SIX1/FMN1/SALL1/SOX11/CXCR2",37
"BP","GO:0045664","regulation of neuron differentiation","28/1157","196/18723",2.91764470717618e-05,0.00231652408441827,0.00205364248971054,"PROX1/DLX2/JAG1/SOX8/GATA2/ADRA2C/WNT3A/SIX3/MEIS1/GSK3B/CASZ1/RET/ZFHX3/KCTD11/MYCN/NKX6-1/RAP1GAP/NTF3/BMP7/FGFR1/SOX2/DAB1/SIX1/ZNF536/SOX11/TLX3/HEY2/HOXA2",28
"BP","GO:1903779","regulation of cardiac conduction","9/1157","28/18723",3.01334825361243e-05,0.00234544568179346,0.00207928203373234,"RYR2/CORIN/ATP2B4/ATP2B3/ATP2A1/ATP2A3/PRKACA/SLC8A2/SLC8A1",9
"BP","GO:0002089","lens morphogenesis in camera-type eye","8/1157","22/18723",3.04095569041567e-05,0.00234544568179346,0.00207928203373234,"PROX1/MEIS1/NECTIN1/SKI/SOX1/SOX11/NECTIN3/CITED2",8
"BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","25/1157","167/18723",3.48312574316326e-05,0.00264864730807583,0.00234807601989078,"HMCN1/KIRREL3/SDK1/CDH2/CDH23/ROBO1/PCDH17/CDH22/FAT1/RET/SDK2/NECTIN1/CDH4/PCDHGC4/DSC2/PCDH19/FAT3/DCHS2/PCDH9/CDH15/NECTIN3/FAT4/PCDH10/PCDH18/L1CAM",25
"BP","GO:0008543","fibroblast growth factor receptor signaling pathway","16/1157","82/18723",3.54662682398123e-05,0.00265947753092704,0.00235767721763781,"KL/OTX2/FGF22/TRIM71/CCN2/FGF19/GPC1/SULF1/FGFR2/FGF18/NDST1/SULF2/SPRY3/FGFR1/FGF6/HHIP",16
"BP","GO:0048562","embryonic organ morphogenesis","36/1157","285/18723",3.60333621845796e-05,0.00266498797855541,0.00236256233386133,"PROX1/HOXB3/DLX2/LRIG1/RYR2/KCNQ1/WNT9B/GATA2/WNT3A/HOXB5/DYNC2I1/FGFR2/ALX1/GSC/SIX3/FBN2/TBX20/OSR2/MYCN/TBX1/NDST1/BMP7/NOTO/PAX2/TBX15/OSR1/ZIC1/ZIC3/HESX1/MMP14/SIX1/HOXB8/SOX11/CITED2/HOXA2/INSIG2",36
"BP","GO:0021527","spinal cord association neuron differentiation","6/1157","12/18723",3.67650613015048e-05,0.00267277632476893,0.00236946685033765,"LHX5/LHX3/WNT3A/MDGA1/GSX2/LMO4",6
"BP","GO:0048732","gland development","49/1157","436/18723",3.71287690975495e-05,0.00267277632476893,0.00236946685033765,"PROX1/WT1/HOXB3/PITX2/PROP1/NFIB/NR5A1/MSN/ADCYAP1/LRP5L/GATA2/SLC46A2/LHX3/WNT3A/SULF1/UPRT/ROBO1/CSMD1/FGFR2/SIX3/TNFSF11/LAMA1/TBX1/RAP1GAP/SULF2/BMP7/PLXND1/LRP5/LMO4/SOX2/FASN/TNFAIP3/MAD1L1/SOSTDC1/ZIC3/ETS1/HESX1/HGF/PDGFA/CSF1/NKX2-3/SIX1/FOXB1/SALL1/SRC/CITED2/EGFR/FGL1/PLAG1",49
"BP","GO:0035148","tube formation","23/1157","148/18723",3.88566414653138e-05,0.00276035535883196,0.00244710732330723,"PROX1/TRIM71/NFIB/SPINT1/SOX8/WNT9B/FGFR2/RET/TSC2/BMP7/LHX2/PAX2/IRX2/LMO4/RGMA/ITGB1BP1/OSR1/HESX1/SKI/SIX1/PRKACA/SOX11/CITED2",23
"BP","GO:0071300","cellular response to retinoic acid","14/1157","66/18723",4.10221466093582e-05,0.00287634505901201,0.00254993439005812,"KLF4/WNT9B/WNT3A/FGFR2/RET/TBX1/STRA8/PTK2B/PAX2/TESC/OSR1/CYP26B1/FZD7/HOXA2",14
"BP","GO:0048593","camera-type eye morphogenesis","20/1157","120/18723",4.43110142000891e-05,0.00306711750854206,0.00271905778094204,"PROX1/JAG1/PITX2/SDK1/SOX8/HCN1/SIX3/MEIS1/FAT1/TFAP2B/SDK2/BMP7/LRP5/NECTIN1/PAX2/SKI/SOX1/SOX11/NECTIN3/CITED2",20
"BP","GO:0030178","negative regulation of Wnt signaling pathway","25/1157","170/18723",4.71336556992969e-05,0.00322119755848739,0.00285565266441976,"NFATC4/OTUD5/HIC1/RNF213/EMD/CDH2/VGLL4/GSC/GSK3B/AMER1/TSC2/NFATC1/JADE1/IFT80/C12orf43/NOTUM/NPHP4/SOX2/TCF7L2/SOSTDC1/PTPRU/TLE3/WWOX/TLE1/BARX1",25
"BP","GO:0035637","multicellular organismal signaling","24/1157","160/18723",4.79668889460086e-05,0.00323376788931381,0.00286679650085491,"CACNA1H/SLC4A3/RYR2/KCNQ1/CORIN/KCNH2/FLNA/CACNG2/CAMK2D/DMRT3/ATP2B4/PLEC/ATP2B3/DSC2/ABCC9/MEF2A/CACNG3/ATP2A1/ATP2A3/CACNG5/PRKACA/SLC8A2/MYH14/SLC8A1",24
"BP","GO:0035914","skeletal muscle cell differentiation","14/1157","67/18723",4.89434538922988e-05,0.00323376788931381,0.00286679650085491,"SOX8/GPC1/EMD/WNT3A/DMRTA2/KLF5/TBX1/HIVEP3/CYP26B1/BCL9/SIX1/RBFOX1/SOX11/CITED2",14
"BP","GO:0060349","bone morphogenesis","17/1157","93/18723",4.91144595154163e-05,0.00323376788931381,0.00286679650085491,"LTBP3/COL27A1/LRP5L/CHSY1/FGFR2/FGF18/MSX2/OSR2/LRP5/IFT80/NAB2/CYP26B1/SKI/MMP14/CITED2/DHRS3/INSIG2",17
"BP","GO:0048754","branching morphogenesis of an epithelial tube","23/1157","151/18723",5.36208932623612e-05,0.00348794220148781,0.00309212684418461,"WT1/NFATC4/COL4A1/SOX8/WNT9B/LRP5L/CSMD1/FGFR2/CTSH/TBX20/LAMA1/MYCN/BMP7/PLXND1/LRP5/PAX2/CSF1/MMP14/SIX1/SALL1/SRC/HHIP/EDNRA",23
"BP","GO:0071277","cellular response to calcium ion","16/1157","85/18723",5.61396209249243e-05,0.00360830730206746,0.0031988327862861,"LGMN/ADGRV1/HPCA/CAPN3/SYT6/CAMK2D/RYR1/SYT13/ALOX15/IQGAP1/CPNE8/MEF2A/DPEP1/ADD1/BRAF/CPNE7",16
"BP","GO:0042692","muscle cell differentiation","44/1157","384/18723",5.78385345235933e-05,0.00367376762226918,0.00325686460035639,"PROX1/WT1/EFNB2/NFATC4/CACNA1H/G6PD/MYOM2/WNT3A/CDH2/HDAC4/ADGRB1/CAPN3/TMEM204/SIK1/FGFR2/KLF5/NFATC1/TBX1/MYO18B/CTDP1/RYR1/PLEC/EHD1/PPARA/PLPP7/LMOD3/OBSCN/FLII/UCHL1/ATP11A/CYP26B1/MECP2/SKI/BCL9/HNRNPU/CASP7/MMP14/SIX1/MEF2A/DMPK/FZD7/HEY2/HDAC9/SLC8A1",44
"BP","GO:0072175","epithelial tube formation","21/1157","132/18723",5.85423728461323e-05,0.00367523570925893,0.00325816608728719,"PROX1/TRIM71/SPINT1/SOX8/WNT9B/FGFR2/RET/TSC2/BMP7/LHX2/PAX2/IRX2/LMO4/RGMA/OSR1/HESX1/SKI/SIX1/PRKACA/SOX11/CITED2",21
"BP","GO:0021675","nerve development","15/1157","77/18723",6.29631031798837e-05,0.00390733096630106,0.00346392292993262,"HOXB3/LRIG1/DICER1/SULF1/PLXNA4/NRP2/RET/TBX1/NTF3/SULF2/PAX2/POU4F1/SIX1/SALL1/CITED2",15
"BP","GO:0050767","regulation of neurogenesis","42/1157","364/18723",7.21314973610711e-05,0.00442543129832299,0.00392322869020084,"TENM4/NFATC4/ITPKA/HOXB3/DLX2/HES6/RAPGEF2/HELT/GDI1/SPINT1/SOX8/ADCYAP1/ANKRD27/WNT3A/DICER1/ROBO1/PLXNA4/DMRTA2/MAP2/BHLHB9/MYCN/NKX6-1/BMP7/PLXND1/GSX2/LHX2/CDH4/CUX1/RGMA/PLXNA2/SKI/DAB1/CUX2/POU4F1/SLITRK1/SEMA6B/SOX11/SEMA6A/HEY2/EGFR/PLAG1/L1CAM",42
"BP","GO:0061448","connective tissue development","32/1157","252/18723",8.65002463270521e-05,0.00522791368767588,0.00463464453219645,"WT1/LTBP3/ZNF219/HOXB3/DLX2/CCN2/NFIB/COL27A1/SLC25A25/SOX8/LRP5L/SULF1/CHSY1/FGF18/OSR2/AMER1/RUNX3/MYCN/EBF2/SH3PXD2B/SULF2/BMP7/UMODL1/LRP5/IFT80/FGF6/OSR1/BGN/CSF1/MAF/RUNX1/TGFBI",32
"BP","GO:0042474","middle ear morphogenesis","7/1157","19/18723",8.81163448006122e-05,0.00522791368767588,0.00463464453219645,"GSC/OSR2/TBX1/OSR1/SIX1/HOXA2/INSIG2",7
"BP","GO:0072074","kidney mesenchyme development","7/1157","19/18723",8.81163448006122e-05,0.00522791368767588,0.00463464453219645,"WT1/BASP1/AMER1/BMP7/PAX2/OSR1/SIX1",7
"BP","GO:0072073","kidney epithelium development","21/1157","136/18723",9.12297166732613e-05,0.00535379609042323,0.00474624166720045,"WT1/SMAD6/POU3F3/JAG1/BASP1/SOX8/WNT9B/KIF26B/FGFR2/TFAP2B/RET/BMP7/PAX2/IRX2/OSR1/AQP11/IQGAP1/SIX1/FMN1/SALL1/CXCR2",21
"BP","GO:0032526","response to retinoic acid","18/1157","107/18723",9.26805632183639e-05,0.00538045549264459,0.00476987573235881,"KLF4/SLC10A3/WNT9B/RXRA/WNT3A/FGFR2/CTSH/RET/TBX1/STRA8/PTGES/PTK2B/PAX2/TESC/OSR1/CYP26B1/FZD7/HOXA2",18
"BP","GO:0010463","mesenchymal cell proliferation","10/1157","39/18723",9.54738456671456e-05,0.00548365205060552,0.00486136143615354,"NFIB/FGFR2/MYCN/TBX1/BMP7/LRP5/OSR1/DCHS2/PDGFA/SIX1",10
"BP","GO:0061337","cardiac conduction","17/1157","98/18723",9.72317227767333e-05,0.00549783775070997,0.00487393732805846,"SLC4A3/RYR2/KCNQ1/CORIN/KCNH2/FLNA/CAMK2D/ATP2B4/ATP2B3/DSC2/ABCC9/MEF2A/ATP2A1/ATP2A3/PRKACA/SLC8A2/SLC8A1",17
"BP","GO:0014902","myotube differentiation","19/1157","117/18723",9.77574410202181e-05,0.00549783775070997,0.00487393732805846,"CACNA1H/HDAC4/ADGRB1/SIK1/KLF5/TBX1/RYR1/PLEC/EHD1/PLPP7/LMOD3/ATP11A/CYP26B1/SKI/BCL9/MMP14/SIX1/DMPK/HDAC9",19
"BP","GO:0099601","regulation of neurotransmitter receptor activity","13/1157","63/18723",0.000103526788443809,0.00576227969905285,0.00510837012538254,"DLGAP3/DLGAP2/BEGAIN/CACNG2/RGS9/PTK2B/RASGRF1/ARC/LYNX1/CACNG3/CACNG5/DLGAP4/SRC",13
"BP","GO:0048483","autonomic nervous system development","11/1157","47/18723",0.000106017404660989,0.00584069354861916,0.00517788548865215,"SOX8/PLXNA4/NRP2/TFAP2B/RET/TBX1/ISX/SIX1/KIF26A/SOX11/EDNRA",11
"BP","GO:0051153","regulation of striated muscle cell differentiation","17/1157","99/18723",0.000110739678636778,0.00603922752484815,0.00535388962000459,"PROX1/EFNB2/G6PD/WNT3A/HDAC4/SIK1/TBX1/CTDP1/PPARA/PLPP7/LMOD3/ATP11A/CYP26B1/MMP14/DMPK/FZD7/HDAC9",17
"BP","GO:0009952","anterior/posterior pattern specification","27/1157","201/18723",0.000117482986490158,0.00634290644060365,0.00562310673232369,"WT1/OTX2/NR2F2/HOXB3/HES6/HELT/BASP1/PCSK5/LRP5L/WNT3A/HOXB5/EN1/CYP26C1/TBX1/LRP5/PCSK6/FOXA2/ARC/PLXNA2/OSR1/SKI/FOXB1/HOXB8/HEY2/HOXA2/BARX1/ATP6AP2",27
"BP","GO:0010038","response to metal ion","42/1157","373/18723",0.000124836359281119,0.00667318320553229,0.00591590334185772,"TIGAR/NFATC4/LGMN/CACNA1H/ATP5F1D/ERCC1/HAAO/MAP1LC3A/ADGRV1/SPARC/GDI1/G6PD/C1QA/HPCA/RYR2/CAPN3/CACNG2/SYT6/GPHN/CAMK2D/SLC26A5/PTGES/ADAMTS13/PTK2B/BNIP3/RYR1/SYT13/KCNMA1/ALOX15/HESX1/IQGAP1/CPNE8/MEF2A/DPEP1/DNMT3A/ADD1/SLC12A2/EGFR/BRAF/NDRG1/CYP11B1/CPNE7",42
"BP","GO:0072087","renal vesicle development","7/1157","20/18723",0.000128354346872793,0.00679397175260987,0.00602298467730225,"SOX8/WNT9B/KIF26B/PAX2/OSR1/FMN1/SALL1",7
"BP","GO:0051098","regulation of binding","41/1157","363/18723",0.000139855797822685,0.00733088788781237,0.00649897100357432,"NES/CTBP2/NFATC4/AKTIP/RAPGEF2/KLF4/WNT3A/BCL3/HDAC4/DNAJB2/MAP2/GSK3B/MSX2/WAPL/TNFSF11/EBF2/RAP1GAP/PLAUR/PLCL2/PLXND1/LHX2/NSD1/PPARA/RGMA/IRF4/FBH1/TCF7L2/DOT1L/ITGB1BP1/GNL3L/MAPRE3/STING1/SKI/POU4F1/ATP2A3/PRKACA/SOX11/SRC/ADD1/BAG2/HEY2",41
"BP","GO:0021515","cell differentiation in spinal cord","11/1157","49/18723",0.000158292091775953,0.00821749041825354,0.00728496094438519,"LHX5/GATA2/LHX3/WNT3A/MDGA1/TBX20/DMRT3/GSX2/LMO4/SOX1/MDGA2",11
"BP","GO:0072075","metanephric mesenchyme development","6/1157","15/18723",0.000169511840645958,0.00871613740616691,0.00772702094653804,"WT1/BASP1/BMP7/PAX2/OSR1/SIX1",6
"BP","GO:0097485","neuron projection guidance","29/1157","228/18723",0.000176756563908191,0.0090029121560408,0.0079812521955367,"EFNA3/EFNB2/OTX2/NFIB/LHX3/WNT3A/ROBO1/PLXNA4/NRP2/RET/LAMA1/BMP7/PLXND1/EPHB4/LHX2/NECTIN1/CDH4/NRXN3/PLXNA2/DPYSL4/UNC5D/EPHA10/NEO1/EFNA2/SEMA6B/SEMA6A/UNC5A/HOXA2/L1CAM",29
"BP","GO:0003279","cardiac septum development","17/1157","103/18723",0.000182622523028592,0.00921475702646136,0.00816905668677822,"PROX1/SMAD6/JAG1/ROBO1/FGFR2/NRP2/TBX20/TBX1/NDST1/BMP7/PLXND1/LMO4/SALL1/SOX11/HEY2/CITED2/DHRS3",17
"BP","GO:0021879","forebrain neuron differentiation","10/1157","42/18723",0.000186559351443742,0.00932624017078484,0.00826788860638104,"PROX1/DLX2/NDNF/RAPGEF2/LHX5/GATA2/FGFR2/NRP2/SOX1/LHX6",10
"BP","GO:0021536","diencephalon development","14/1157","76/18723",0.000204412008907315,0.0101249581292715,0.00897596720909284,"PITX2/NDNF/PROP1/ADCYAP1/GATA2/LHX3/SIX3/NRP2/SOX2/ETS1/HESX1/POU4F1/FOXB1/SALL1",14
"BP","GO:0043410","positive regulation of MAPK cascade","50/1157","480/18723",0.000208821804653871,0.0102493538484204,0.0090862463709201,"KL/ALKAL2/ACKR3/RAPGEF2/PJA2/NQO2/CCN2/MOS/FGF19/ADCYAP1/ADRA2C/CDH2/SYK/ADAM8/GAS6/SHC2/OSM/ROBO1/FGFR2/TNIK/FGF18/RET/TNFSF11/TBX1/NDST1/CARD9/NTF3/CSPG4/PRKCA/IL11/FGFR1/GADD45B/PTK2B/SOX2/ALOX15/PIK3R5/CCL1/KITLG/IQGAP1/MAP3K5/HGF/PDGFA/TRAF3/MAP2K3/LILRA5/FZD7/SRC/GRM4/EGFR/BRAF",50
"BP","GO:0021983","pituitary gland development","10/1157","43/18723",0.000229769531147837,0.0111220502002096,0.00985990822088946,"PITX2/PROP1/ADCYAP1/GATA2/LHX3/SIX3/SOX2/ETS1/HESX1/SALL1",10
"BP","GO:0021872","forebrain generation of neurons","11/1157","51/18723",0.000230971171476532,0.0111220502002096,0.00985990822088946,"PROX1/DLX2/NDNF/RAPGEF2/LHX5/GATA2/WNT3A/FGFR2/NRP2/SOX1/LHX6",11
"BP","GO:0060411","cardiac septum morphogenesis","13/1157","68/18723",0.000232782306468547,0.0111220502002096,0.00985990822088946,"PROX1/SMAD6/JAG1/ROBO1/FGFR2/NRP2/TBX20/TBX1/BMP7/SOX11/HEY2/CITED2/DHRS3",13
"BP","GO:2000027","regulation of animal organ morphogenesis","19/1157","125/18723",0.000238667845579546,0.0113032254235436,0.0100205234889215,"WT1/RSPO3/SOX8/WNT9B/WNT3A/SULF1/ROBO1/DMRT3/TBX1/BMP7/PAX2/ARHGEF19/HGF/PDGFA/CSF1/SIX1/FZD7/CITED2/SMURF1",19
"BP","GO:0042060","wound healing","45/1157","422/18723",0.000253966032325779,0.0119231531176251,0.0105701011348771,"DGKZ/VWF/KRT1/NDNF/SPARC/MYL9/GATA2/ADRA2C/WNT3A/TAFA5/SYK/FLNA/ST3GAL4/GAS6/FGFR2/PRSS56/F13A1/SCARB1/PLAUR/TSPAN8/ELK3/PRKCA/VIL1/ADAMTS13/FOXA2/PLEC/PPARA/VAV2/ARHGEF19/ALOX15/TNFAIP3/ETS1/MAP3K5/SCUBE1/PHLDB2/PDGFA/DUOX2/GP1BA/VAV1/FZD7/SRC/ARHGAP24/SLC12A2/GNA12/EGFR",45
"BP","GO:0018209","peptidyl-serine modification","38/1157","338/18723",0.00026502987903136,0.0123353130766406,0.0109354887473284,"INPP5F/SBK1/NDNF/RPS6KA3/HDAC6/WNT3A/SYK/GAS6/HSP90AA1/CSNK2A1/OSM/GSK3B/CAMK2D/RET/DCLK3/RPS6KA2/BRSK2/PLCL2/IKBKB/NTF3/PRKCA/RPTOR/IL11/ATP2B4/DYRK2/NSD1/BGN/PNCK/MGAT5B/HGF/GALNT1/PRKACA/DMPK/SRC/DYRK1A/EGFR/SRPK2/BRAF",38
"BP","GO:0045665","negative regulation of neuron differentiation","13/1157","69/18723",0.000270831625226445,0.0124976063640819,0.0110793648214543,"DLX2/JAG1/SOX8/WNT3A/SIX3/MEIS1/GSK3B/RAP1GAP/BMP7/SOX2/ZNF536/TLX3/HOXA2",13
"BP","GO:0048665","neuron fate specification","8/1157","29/18723",0.000276964831371677,0.0126723146150481,0.0112342469959591,"LHX3/DMRTA2/DMRT3/GSX2/POU4F1/SOX1/SIX1/TLX3",8
"BP","GO:0021543","pallium development","23/1157","169/18723",0.000301125471521107,0.0136619867289282,0.0121116100752452,"PROX1/KIRREL3/POU3F3/DLX2/LHX5/CCDC85C/WNT3A/CDH2/FLNA/ROBO1/DMRTA2/GSK3B/MDGA1/TRAPPC9/LHX2/ATP2B4/BNIP3/TACC2/DAB1/SEMA6B/FAT4/NSUN5/LHX6",23
"BP","GO:0043583","ear development","27/1157","213/18723",0.000307531597787835,0.0137777582649691,0.0122142437353534,"PROX1/JAG1/LRIG1/ADGRV1/SPARC/HPCA/KCNQ1/GATA2/LHX3/WNT3A/CDH23/FGFR2/GSC/SLC26A5/OSR2/MYCN/TBX1/PAX2/SOX2/OSR1/ZIC1/HESX1/SIX1/MAF/HEY2/HOXA2/INSIG2",27
"BP","GO:0006029","proteoglycan metabolic process","14/1157","79/18723",0.000311332933566629,0.0137777582649691,0.0122142437353534,"NDNF/HS6ST1/GPC1/HS6ST3/SULF1/CHSY1/NDST1/SULF2/B3GAT1/TCF7L2/BGN/CHST8/CHST7/CANT1",14
"BP","GO:0060420","regulation of heart growth","14/1157","79/18723",0.000311332933566629,0.0137777582649691,0.0122142437353534,"PROX1/WT1/BASP1/G6PD/VGLL4/FGFR2/MEIS1/TBX20/CTDP1/PPARA/DUSP6/RUNX1/HEY2/CITED2",14
